"Dictionnaire de donnée
";;;;;;
"Table";"Colonne";"Type";"Contraintes";"Clé";"Description";
"bookings";"status";"varchar(20)";"NOT NULL, DEFAULT 'en attente', CHECK ('en attente','confirmée','refusée','annulée')";;"Statut de la réservation";
"bookings";"created_at";"timestamp";"NOT NULL, DEFAULT CURRENT_TIMESTAMP";;"Date et heure de création de la réservation";
"bookings";"updated_at";"timestamp";;;"Date de dernière modification de la réservation";
"bookings";"cancelled_at";"timestamp";;;"Date d'annulation, renseignée si l'utilisateur annule sa réservation";
"bookings";"cancel_reason";"text";;;"Motif de l'annulation, saisi par le créateur de la réservation";
"bookings";"refusal_reason";"text";;;"Motif du refus, saisi par le Service Validateur ou l'Administrateur";
"bookings";"booking_reason";"text";"NOT NULL";;"Motif de la réservation, saisi par le demandeur à la création";
"actions";"action_id";"serial";"NOT NULL";"PK";"Identifiant unique de l'action (référentiel des types d'actions journalisées)";
"actions";"name";"varchar";"NOT NULL, UNIQUE";;"Nom de l'action (ex : réservation créée, compte activé)";
"actions";"description";"text";;;"Description de l'action";
"role_actions";"role_id";"integer";"NOT NULL";"PK, FK -> auth_roles.role_id";"Rôle concerné par la permission";
"role_actions";"action_id";"integer";"NOT NULL";"PK, FK -> actions.action_id";"Action autorisée pour ce rôle";
"logs";"log_id";"serial";"NOT NULL";"PK";"Identifiant unique de l'entrée de log";
"logs";"action_id";"integer";"NOT NULL";"FK -> actions.action_id";"Type d'action réalisée, référence à la table actions";
"logs";"user_id";"integer";"NOT NULL";"FK -> users.user_id";"Utilisateur ayant réalisé l'action";
"logs";"details";"text";"NOT NULL";;"Détails complémentaires sur l'action réalisée";
"logs";"created_at";"timestamp";"NOT NULL, DEFAULT CURRENT_TIMESTAMP";;"Date et heure de réalisation de l'action";
"notifications";"notification_id";"serial";"NOT NULL";"PK";"Identifiant unique de la notification";
"notifications";"log_id";"integer";"NOT NULL";"FK -> logs.log_id";"Log associé à l'origine de la notification (permet de retrouver l'utilisateur et le détail de l'action)";
"notifications";"booking_id";"integer";"DEFAULT NULL";"FK -> bookings.booking_id";"Réservation concernée par la notification, si applicable";
"notifications";"type";"varchar(20)";"NOT NULL, CHECK ('EMAIL','IN_APP')";;"Canal d'envoi de la notification";
"notifications";"status";"varchar(20)";"NOT NULL, DEFAULT 'PENDING', CHECK ('PENDING','SENT','FAILED')";;"État d'envoi de la notification";
"notifications";"sent_at";"timestamp";;;"Date et heure d'envoi effectif de la notification";
